中文类别,地点ID,生态区,X,Y,Z,距祭坛,状态
冰霜洞穴,MountainCave02,Mountain,64,149,768,1091,已生成
冰霜洞穴,MountainCave02,Mountain,256,139,832,1229,已生成
冰霜洞穴,MountainCave02,Mountain,1216,169,0,1562,已生成
冰霜洞穴,MountainCave02,Mountain,1280,150,192,1665,预定位置
冰霜洞穴,MountainCave02,Mountain,-512,156,1472,1733,已生成
冰霜洞穴,MountainCave02,Mountain,1472,130,64,1825,预定位置
冰霜洞穴,MountainCave02,Mountain,-1280,155,1408,1914,已生成
冰霜洞穴,MountainCave02,Mountain,768,157,-2944,2906,预定位置
冰霜洞穴,MountainCave02,Mountain,512,237,-3072,2942,预定位置
冰霜洞穴,MountainCave02,Mountain,-1728,138,2368,2971,已生成
冰霜洞穴,MountainCave02,Mountain,832,137,-3136,3108,预定位置
冰霜洞穴,MountainCave02,Mountain,640,184,-3264,3164,预定位置
冰霜洞穴,MountainCave02,Mountain,2944,152,-1088,3375,预定位置
冰霜洞穴,MountainCave02,Mountain,2176,135,2048,3397,预定位置
冰霜洞穴,MountainCave02,Mountain,3136,164,-960,3533,预定位置
冰霜洞穴,MountainCave02,Mountain,-3968,137,-256,3643,预定位置
冰霜洞穴,MountainCave02,Mountain,-704,131,3456,3727,已生成
冰霜洞穴,MountainCave02,Mountain,-2752,144,3328,4324,已生成
冰霜洞穴,MountainCave02,Mountain,-3008,134,3456,4576,已生成
冰霜洞穴,MountainCave02,Mountain,2048,215,3840,4730,已生成
冰霜洞穴,MountainCave02,Mountain,4224,182,1280,4800,预定位置
冰霜洞穴,MountainCave02,Mountain,4160,171,1536,4828,预定位置
冰霜洞穴,MountainCave02,Mountain,4032,136,-2560,4931,已生成
冰霜洞穴,MountainCave02,Mountain,3968,204,-2752,4968,已生成
冰霜洞穴,MountainCave02,Mountain,1984,254,4160,4979,预定位置
冰霜洞穴,MountainCave02,Mountain,2240,210,4032,4993,预定位置
冰霜洞穴,MountainCave02,Mountain,4416,162,1536,5067,预定位置
冰霜洞穴,MountainCave02,Mountain,-3904,132,-3904,5114,预定位置
冰霜洞穴,MountainCave02,Mountain,4544,131,1344,5124,预定位置
冰霜洞穴,MountainCave02,Mountain,2176,311,4224,5127,预定位置
冰霜洞穴,MountainCave02,Mountain,2048,154,4352,5179,预定位置
冰霜洞穴,MountainCave02,Mountain,2304,140,4224,5190,预定位置
冰霜洞穴,MountainCave02,Mountain,-1984,136,4672,5195,预定位置
冰霜洞穴,MountainCave02,Mountain,-1792,168,4800,5260,预定位置
冰霜洞穴,MountainCave02,Mountain,4160,135,-3008,5265,已生成
冰霜洞穴,MountainCave02,Mountain,4608,138,1600,5269,预定位置
冰霜洞穴,MountainCave02,Mountain,4864,153,1024,5344,预定位置
冰霜洞穴,MountainCave02,Mountain,4096,139,-3328,5386,预定位置
冰霜洞穴,MountainCave02,Mountain,-1984,132,4928,5438,预定位置
冰霜洞穴,MountainCave02,Mountain,2368,167,-4992,5452,预定位置
冰霜洞穴,MountainCave02,Mountain,2240,149,-5184,5560,预定位置
冰霜洞穴,MountainCave02,Mountain,-5376,165,2112,5576,预定位置
冰霜洞穴,MountainCave02,Mountain,4288,141,-3392,5581,预定位置
冰霜洞穴,MountainCave02,Mountain,-5312,135,2368,5633,预定位置
冰霜洞穴,MountainCave02,Mountain,2432,232,-5184,5651,预定位置
冰霜洞穴,MountainCave02,Mountain,5184,138,-1600,5672,预定位置
冰霜洞穴,MountainCave02,Mountain,2624,137,-5184,5747,预定位置
冰霜洞穴,MountainCave02,Mountain,2240,187,-5440,5788,预定位置
冰霜洞穴,MountainCave02,Mountain,2432,147,-5376,5819,预定位置
冰霜洞穴,MountainCave02,Mountain,4352,141,3328,5890,预定位置
冰霜洞穴,MountainCave02,Mountain,2304,131,5696,6503,预定位置
冰霜洞穴,MountainCave02,Mountain,3968,173,4800,6629,预定位置
冰霜洞穴,MountainCave02,Mountain,-960,166,-6976,6755,预定位置
冰霜洞穴,MountainCave02,Mountain,4096,137,5056,6908,预定位置
冰霜洞穴,MountainCave02,Mountain,-1152,135,-7168,6966,预定位置
冰霜洞穴,MountainCave02,Mountain,-960,141,-7232,7010,预定位置
冰霜洞穴,MountainCave02,Mountain,6336,139,-2752,7115,预定位置
冰霜洞穴,MountainCave02,Mountain,6272,135,-3008,7150,预定位置
冰霜洞穴,MountainCave02,Mountain,-1088,194,7232,7522,已生成
冰霜洞穴,MountainCave02,Mountain,-4416,153,6080,7538,预定位置
冰霜洞穴,MountainCave02,Mountain,-1344,155,7232,7552,已生成
冰霜洞穴,MountainCave02,Mountain,6208,147,3584,7576,预定位置
冰霜洞穴,MountainCave02,Mountain,-7744,141,-2496,7751,预定位置
冰霜洞穴,MountainCave02,Mountain,-4736,243,6144,7769,预定位置
冰霜洞穴,MountainCave02,Mountain,-4352,138,6400,7775,已生成
冰霜洞穴,MountainCave02,Mountain,-4928,202,6016,7776,预定位置
冰霜洞穴,MountainCave02,Mountain,-1152,143,7488,7783,已生成
冰霜洞穴,MountainCave02,Mountain,-3328,146,6976,7826,预定位置
冰霜洞穴,MountainCave02,Mountain,-3072,199,7104,7851,预定位置
冰霜洞穴,MountainCave02,Mountain,-4544,213,6400,7876,预定位置
冰霜洞穴,MountainCave02,Mountain,-3264,150,7168,7980,预定位置
冰霜洞穴,MountainCave02,Mountain,-5056,186,6208,8006,预定位置
冰霜洞穴,MountainCave02,Mountain,-8384,177,128,8068,预定位置
冰霜洞穴,MountainCave02,Mountain,-4800,136,6464,8070,预定位置
冰霜洞穴,MountainCave02,Mountain,-8448,193,512,8159,预定位置
冰霜洞穴,MountainCave02,Mountain,-8512,133,-384,8188,预定位置
冰霜洞穴,MountainCave02,Mountain,-8576,142,0,8255,预定位置
冰霜洞穴,MountainCave02,Mountain,-8576,131,704,8306,预定位置
冰霜洞穴,MountainCave02,Mountain,8064,150,320,8409,预定位置
冰霜洞穴,MountainCave02,Mountain,-8768,162,128,8451,预定位置
冰霜洞穴,MountainCave02,Mountain,8128,136,-576,8459,预定位置
冰霜洞穴,MountainCave02,Mountain,-8832,139,320,8526,预定位置
冰霜洞穴,MountainCave02,Mountain,-8192,134,3072,8540,预定位置
冰霜洞穴,MountainCave02,Mountain,8256,134,-320,8582,预定位置
冰霜洞穴,MountainCave02,Mountain,-8320,139,2880,8586,预定位置
冰霜洞穴,MountainCave02,Mountain,8384,136,64,8715,预定位置
冰霜洞穴,MountainCave02,Mountain,-8960,158,-1792,8771,预定位置
冰霜洞穴,MountainCave02,Mountain,-9024,207,-1984,8870,预定位置
冰霜洞穴,MountainCave02,Mountain,-9024,133,-2240,8923,预定位置
冰霜洞穴,MountainCave02,Mountain,-9152,227,-1792,8960,预定位置
冰霜洞穴,MountainCave02,Mountain,-9216,204,-2048,9071,预定位置
冰霜洞穴,MountainCave02,Mountain,8704,147,896,9102,预定位置
冰霜洞穴,MountainCave02,Mountain,-9344,158,-1664,9129,预定位置
冰霜洞穴,MountainCave02,Mountain,-9408,143,-1856,9223,预定位置
北境洞穴,TheHole01,DeepNorth,-963,33,8253,8528,预定位置
北境洞穴,TheHole01,DeepNorth,-384,39,8322,8573,预定位置
北境洞穴,TheHole01,DeepNorth,-1791,37,8447,8821,已生成
北境洞穴,TheHole01,DeepNorth,-1340,37,8642,8951,预定位置
北境洞穴,TheHole01,DeepNorth,-5700,34,6910,8953,预定位置
北境洞穴,TheHole01,DeepNorth,64,41,8707,8966,预定位置
北境洞穴,TheHole01,DeepNorth,3904,37,7871,9158,预定位置
北境洞穴,TheHole01,DeepNorth,-4671,97,7874,9215,预定位置
北境洞穴,TheHole01,DeepNorth,-1411,53,8957,9272,预定位置
北境洞穴,TheHole01,DeepNorth,-640,43,9026,9283,预定位置
